title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
Budapest Bistro,"Coffee & Tea, Cafe",305,4.5,80,cuisine_1,Coffee & Tea
Grill house da Max,"Steakhouse, Barbecue",636,4.5,81,cuisine_1,Steakhouse
Ribs of Vienna,"Austrian, Bar",3951,4.5,82,cuisine_1,Austrian
AROI THAI Restaurant,"Asian, Thai",388,4.5,83,cuisine_1,Asian
BLOCK HOUSE Am Naschmarkt,"American, Steakhouse",452,4.5,84,cuisine_1,American
Addicted To Rock Bar & Burger,"Coffee & Tea, American",341,4.5,85,cuisine_1,Coffee & Tea
Mochi,"Japanese, Sushi",691,4.5,86,cuisine_1,Japanese
Ethiopian Restaurant - Cafe Lalibela,"African, Ethiopian",145,5.0,87,cuisine_1,African
Trzesniewski Dorotheergasse,"Austrian, Fast Food",1498,4.5,88,cuisine_1,Austrian
Yori,"Barbecue, Asian",456,4.5,89,cuisine_1,Barbecue
Taste of India,"Indian, International",473,4.5,90,cuisine_1,Indian
Der Ringsmuth,"Austrian, European",438,4.5,91,cuisine_1,Austrian
Café Benedikt,"Austrian, Cafe",121,5.0,92,cuisine_1,Austrian
LENZ - Social Dining,"Austrian, International",83,5.0,93,cuisine_1,Austrian
The Bank Brasserie & Bar,"International, European",829,4.5,94,cuisine_1,International
Rosnowsky,"German, Austrian",708,4.5,95,cuisine_1,German
GO!Wien,"Austrian, Bar",611,4.5,96,cuisine_1,Austrian
Waldviertlerhof,"Austrian, European",448,4.5,97,cuisine_1,Austrian
Steirereck,"Austrian, European",2043,4.5,98,cuisine_1,Austrian
Huber's Essen & Trinken,"Austrian, European",239,4.5,99,cuisine_1,Austrian
Nestroy Gasthaus & Biergarten,"German, Austrian",434,4.5,100,cuisine_1,German
Zum Wohl - Gasthaus,"Austrian, International",514,4.5,101,cuisine_1,Austrian
TIAN Restaurant Wien,"European, Healthy",1119,4.5,102,cuisine_1,European
Quell,"Austrian, European",225,4.5,103,cuisine_1,Austrian
